Date,Open,High,Low,Close
05/25/2022,"29,348","30,182","29,249","29,561"
05/24/2022,"29,058","29,597","28,641","29,347"
05/23/2022,"29,897","30,623","29,058","29,058"
05/22/2022,"29,420","30,275","29,232","29,898"
05/21/2022,"29,269","29,606","28,930","29,420"
05/20/2022,"29,935","30,719","28,709","29,270"
05/19/2022,"29,252","30,500","28,615","29,935"
05/18/2022,"30,052","30,655","28,709","29,254"
05/17/2022,"29,560","30,734","29,451","30,052"
05/16/2022,"30,419","31,390","29,090","29,560"
05/15/2022,"29,306","30,499","29,279","30,419"
05/14/2022,"30,035","30,076","28,601","29,306"
05/13/2022,"28,600","30,966","27,961","30,035"
05/12/2022,"29,284","30,060","25,402","28,613"
05/11/2022,"31,341","32,132","29,100","29,284"
05/10/2022,"30,955","32,622","29,763","31,344"
05/09/2022,"34,586","34,608","30,333","30,957"
05/08/2022,"35,862","35,862","33,738","34,587"
05/07/2022,"35,989","36,115","35,720","35,862"
05/06/2022,"36,311","36,640","35,280","35,989"
05/05/2022,"39,839","39,900","35,642","36,310"
05/04/2022,"37,720","40,003","37,528","39,834"
05/03/2022,"38,536","38,873","37,519","37,720"
05/02/2022,"37,801","39,137","37,705","38,537"
05/01/2022,"38,477","38,651","37,438","37,801"
04/30/2022,"38,321","38,776","38,182","38,478"
04/29/2022,"39,972","40,201","38,181","38,334"
04/28/2022,"38,879","40,359","38,849","39,967"
04/27/2022,"38,282","39,447","37,730","38,880"
04/26/2022,"40,241","40,773","37,888","38,282"
04/25/2022,"39,714","40,351","38,220","40,241"
04/24/2022,"39,765","39,938","39,022","39,713"
04/23/2022,"39,494","39,971","39,312","39,765"
04/22/2022,"41,241","41,295","39,204","39,494"
04/21/2022,"41,196","42,966","41,170","41,243"
04/20/2022,"41,451","42,200","40,926","41,196"
04/19/2022,"40,687","41,746","40,600","41,451"
04/18/2022,"40,386","40,979","38,578","40,687"
04/17/2022,"40,224","40,665","39,871","40,386"
04/16/2022,"40,323","40,674","40,033","40,224"
04/15/2022,"39,786","40,822","39,677","40,323"
04/14/2022,"41,074","41,492","39,600","39,787"
04/13/2022,"39,301","41,531","39,276","41,074"
04/12/2022,"39,994","40,659","39,254","39,307"
04/11/2022,"43,262","43,421","39,798","39,994"
04/10/2022,"42,539","43,284","42,426","43,263"
04/09/2022,"42,728","42,871","42,128","42,539"
04/08/2022,"43,396","43,962","42,440","42,728"
04/07/2022,"43,766","44,007","42,763","43,396"
04/06/2022,"46,022","46,105","43,215","43,766"
04/05/2022,"45,941","47,183","45,502","46,021"
04/04/2022,"46,426","47,432","45,153","45,941"
04/03/2022,"46,156","46,768","45,570","46,426"
04/02/2022,"46,392","47,200","45,666","46,157"
04/01/2022,"45,624","46,704","44,268","46,391"
03/31/2022,"47,087","47,600","45,560","45,625"
03/30/2022,"47,724","47,735","46,605","47,086"
03/29/2022,"47,979","48,114","46,920","47,724"
03/28/2022,"44,854","48,202","44,757","47,980"
03/27/2022,"44,385","45,000","44,296","44,853"
03/26/2022,"44,458","44,613","44,124","44,385"
03/25/2022,"43,948","45,111","43,621","44,459"
03/24/2022,"42,239","44,233","42,215","43,949"
03/23/2022,"42,313","42,881","41,804","42,239"
03/22/2022,"41,192","43,300","40,905","42,314"
03/21/2022,"41,399","41,680","40,533","41,192"
03/20/2022,"42,061","42,380","40,946","41,399"
